题目	答案
写出下面程序的执行结果：#include <iostream>#include <iomanip>#include <string>using namespace std;int main() {double values[] = { 1.23, 35.36};string names[] = { "Zoot", "Jimmy"};for (int i = 0; i < 2; i++)cout << setw(6) << names[i] << setw(10) << values[i] << endl;return 0;}	(1)   Zoot      1.23 Jimmy     35.36
写出下面程序的执行结果：#include <iostream>#include <fstream>#include <cstring>using namespace std;struct SalaryInfo {unsigned id;double salary;};int main() {SalaryInfo employee1 = { 600001, 8000 };ofstream os("payroll", ios_base::out | ios_base::binary);os.write(reinterpret_cast<char *>(&employee1), sizeof(employee1));os.close();ifstream is("payroll", ios_base::in | ios_base::binary);if (is) {SalaryInfo employee2;is.read(reinterpret_cast<char *>(&employee2), sizeof(employee2));cout << employee2.id << " " << employee2.salary << endl;} else {cout << "ERROR: Cannot open file 'payroll'." << endl;}is.close();return 0;}	(1) 600001 8000
已知int DBL(int n){return n+n;}和long DBL(Long n){return n+n;} 是一个函数模板的两个实例，则该函数模板的定义是______。	(1) template T DBL(T n){return n+n
写出下列程序的执行结果是：__________________。#include <iostream>using namespace std;template <typename T>class Base{public:Base( T i , T j ){x = i;  y = j;}T sum(){return x + y;}private:T x , y;} ;void main(){Base<double> obj2(3.3,5.5);cout << obj2.sum() <<",";Base<int> obj1(3,5);cout << obj1.sum() << endl;}	(1) 8.8,8
通过键盘输入：Type \t字符串后，请写出下面程序的执行结果：#include <iostream>#include <string>using namespace std;int main() {string line;getline(cin, line, 't');cout << line << endl;return 0;}	(1) Type \
如下函数的作用是以双倍行距输出文件：void double_space(ifstream& f, ofstream& t){char c;while(______){______;if(c=='\n')t.put(c);}}下划线处应填入的内容是______。	(1) f.get(c)
写出下列程序的执行结果是：__________________。#include <iostream>using namespace std;template <typename T>double average( T *array,int size ){T sum = 0;for( int i=0; i<size; i++ )sum += array[i];return sum / size;}void main(){int a[] = { 1, 2, 3, 4, 5, 6, 7, 8, 9, 10 };double b[] = { 1.1, 2.2, 3.3, 4.4, 5.5, 6.6, 7.7, 8.8, 9.9, 10 };cout << "Average of array a:" << average( a,10 ) << ";";cout << "Average of array b:" << average( b,10 ) << endl;}	(1) Average of array a:5
写出下面程序的执行结果：#include <iostream>#include <iomanip>#include <string>using namespace std;int main() {double values[] = { 1.23, 35.36};string names[] = { "Zoot", "Jimmy"};cout<<setprecision(6)<<3466.9768<<endl;cout<<scientific<<setprecision(6)<<dec<<3466.9768<<endl;for (int i=0;i<2;i++)cout << setiosflags(ios_base::left)<< setw(6) << names[i]<< resetiosflags(ios_base::left)<< setw(10) << setprecision(1) << values[i] << endl;return 0;}	(1) 3466.983.466977e+003Zoot    1.2e+000Jimmy   3.5e+001
写出下列程序的执行结果是：__________________。#include <iostream>using namespace std;template <typename T>void fun( T &x, T &y ){T temp;temp = x;  x = y;  y = temp;}void main(){int i , j;i = 10;j = 20;fun( i, j );cout << "i=" << i << "," << "j=" << j << ",";double a , b;a = 1.1;b = 2.2;fun( a, b );cout << "a=" << a <<","<< "b=" << b << endl;}	(1) i=20,j=10,a=2.2,b=1.1
写出下面程序的执行结果：#include <iostream>#include <cmath>#include <iomanip>using namespace std;int main(){int x; double a;cout << "x   sin(x)    cos(x)" << endl;     //输出表头for( x=10; x<20; x+=10 ){a = x * 3.14 / 180;cout << setw(3) << setiosflags( ios::left );cout << setiosflags( ios::fixed );cout << setprecision(5);cout << x;cout << setw(10) << sin(a);cout << setw(10) << cos(a)<<endl;}}	(1) x   sin(x)    cos(x)10 0.17356   0.98482
下列程序运行结果为______。#include<iostream>using namespace std;class S{public:~S( ){cout<<"S"<< "\t";}};char fun0(){S s1;throw( 'T');return     '0';}int main(){try{cout<<fun0()<< "\t";}catch(char c){cout<<c<< "\t";}return 0;}	(1) S T
在下划线处填上缺少的部分。源程序如下：#include  <iostream>using namespace std;template<class T>T fun(T x){_________________ y;y=x*x-T(5);return y;}void main(){float a=2;cout<<fun(a);}	(1) T
写出下列程序的执行结果：#include <iostream>#include <sstream>#include <string>#include <stdexcept>//处理异常;using namespace std;istream &f(istream &in) {//不能拷贝IO对象, 不能将形参或返回类型设置为流类型;//进行IO操作的函数通常以引用方式传递和返回值;string v;while (in >> v, !in.eof()) {//直到遇到文件结束符才停止读取;if (in.bad()) {//不可恢复的错误, IO流崩溃;throw runtime_error("IO流错误");//抛出异常;}if (in.fail()) {//可以恢复的错误;//比如输入类型不匹配;cerr << "数据错误, 请重试: " << endl;in.clear();//将in中所有条件状态位复位, 将流的状态设置为有效, 返回void;//恢复正常;in.ignore(100, '\n');//读取并忽略最多100个字符, 包括'\n';continue;}cout << v << endl;}in.clear();return in;//返回引用;}//读写一个IO对象会改变其状态, 因此传递和返回的引用不能是const的;int main() {ios::sync_with_stdio(false);cin.tie(NULL);ostringstream msg;//字符串输出流;//向string写入数据;msg << "C++ Primer" << endl;istringstream in(msg.str());//strm.str() : 返回strm所保存的string拷贝;f(in);return 0;}	(1) C++Primer
写出下面程序的执行结果：#include <iostream>#include <sstream>#include <string>using namespace std;template <class T>inline string toString(const T &v) {ostringstream os;os << v;return os.str();}int main() {string str1 = toString(5);cout << str1 << endl;string str2 = toString(1.2);cout << str2 << endl;return 0;}	(1) 51.2
以下函数模板max的功能是：返回数组a中最大元素的值。请将横线处缺失部分补充完整。template<typename T> T max(T a[],int n){T m=a[0];for(int i=1;i<n;i++)if(a[i]>m)//缺失部分;return m;}	(1) m=a[i]；
写出下面程序的执行结果：#include <iostream>#include <iomanip>#include <string>using namespace std;int main() {double values[] = { 1.23, 35.36};string names[] = { "Zoot", "Jimmy"};for (int i=0;i<2;i++)cout << setiosflags(ios_base::left)<< setw(6) << names[i]<< resetiosflags(ios_base::left)<< setw(10) << values[i] << endl;return 0;}	(1) Zoot        1.23Jimmy      35.36
写出程序运行结果。#include <iostream >using namespace std;int a[10]= {1,2, 3, 4, 5, 6, 7, 8, 9, 10};int fun( int i);int main(){int i ,s=0;for(i=0; i<=10; i++){try{s=s+fun(i);}catch(int){cout<< "数组下标越界!"<<endl;}}cout<<"s="<<s<<endl;return 0;}int fun(int i){if(i>=10) throw i;return a[i];}	(1) 数组下标越界!s=55
写出程序的运行结果：#include <iostream.h>#include <iomanip.h>void main(){double amount = 33.0/9;int number = 248;cout<<amount<<endl;cout<<setprecision(1)<<amount<<endl<<setprecision(2)<<amount<<endl<<setprecision(3)<<amount<<endl<<setprecision(4)<<amount<<endl;cout<<setiosflags(ios::fixed);cout<<setprecision(8)<<amount<<endl;cout<<"Dec:"<<dec<<number<<endl<<"Hex:"<<hex<<number<<endl<<"Oct:"<<oct<<number<<endl;}	(1) 3.6666743.73.673.6673.66666667Dec:248Hex:f8Oct:370
